Gene,highly_variable
LGALS8,False
ACTN2,False
MTR,False
RYR2,False
CHRM3,False
FMN2,False
RP11-527D7.1,False
EXO1,False
SDCCAG8,True
RP11-278H7.1,False
ZBTB18,True
AL590483.1,False
DESI2,True
COX20,False
RP11-11N7.4,True
EFCAB2,True
KIF26B,True
CNST,False
SCCPDH,False
RP11-439E19.10,False
OR2W3,False
OR2L13,False
ZNF672,False
PGBD2,False
DIP2C,False
LARP4B,True
IDI1,True
ADARB2,True
RP11-446F3.2,False
PITRM1,False
KLF6,False
AKR1C2,True
ASB13,False
GDI2,False
ANKRD16,False
PRKCQ,True
SFMBT2,False
KIN,False
GATA3-AS1,False
RP11-271F18.4,False
USP6NL,False
UPF2,False
NUDT5,False
RP11-186N15.3,True
CCDC3,True
PHYH,False
SEPHS1,False
BEND7,False
FRMD4A,False
FAM107B,False
RP11-398C13.6,False
DCLRE1C,False
ACBD7,False
C10orf111,True
NMT2,False
FAM171A1,False
ITGA8,False
FAM188A,False
RSU1,False
CUBN,False
RP11-406H21.2,False
TRDMT1,False
VIM-AS1,True
RP11-124N14.3,False
PTPLA,False
RP11-390B4.5,False
NSUN6,False
ARL5B-AS1,False
NEBL,True
CASC10,True
SKIDA1,False
DNAJC1,True
PIP4K2A,True
C10orf67,False
ARHGAP21,False
PRTFDC1,False
ENKUR,True
ABI1,False
ANKRD26,True
YME1L1,False
ACBD5,True
MPP7,False
WAC-AS1,False
SVIL,True
MTPAP,False
ZNF438,False
ARHGAP12,False
KIF5B,False
EPC1,False
RP11-479G22.8,False
ITGB1,False
NRP1,False
PARD3,False
CUL2,False
RP11-324I22.4,True
FZD8,True
ZNF248,False
ZNF25,False
ZNF33B,False
RP11-351D16.3,True
RASGEF1A,False
HNRNPF,False
ZNF239,False
ZNF32,False
RP11-20J15.3,True
CXCL12,False
TMEM72-AS1,True
C10orf25,False
MARCH8,False
ZFAND4,False
RP11-38L15.2,False
VSTM4,False
ERCC6,False
OGDHL,False
PARG,False
AGAP8,False
AGAP7,False
TIMM23,False
ASAH2,False
SGMS1,False
CSTF2T,False
ZWINT,True
IPMK,False
FAM13C,False
SLC16A9,False
CCDC6,True
ANK3,True
RHOBTB1,True
RTKN2,False
EGR2,True
JMJD1C,False
CTNNA3,False
DNAJC12,False
HERC4,False
ATOH7,False
PBLD,False
RUFY2,False
DNA2,False
SLC25A16,True
AIFM2,True
TYSND1,False
SAR1A,False
PPA1,False
NPFFR1,False
LRRC20,False
PCBD1,False
PSAP,False
SPOCK2,False
ASCC1,False
DNAJB12,False
MICU1,False
P4HA1,True
RP11-152N13.16,False
ECD,False
DNAJC9,True
MRPS16,False
ANXA7,False
MSS51,False
PPP3CB,False
USP54,False
MYOZ1,False
AGAP5,False
AC022400.2,False
CAMK2G,False
RP11-178G16.4,True
AP3M1,False
COMTD1,True
KCNMA1,True
DLG5,True
POLR3A,False
ZCCHC24,False
RP11-119F19.2,True
RP11-773D16.1,False
SFTPD,False
TMEM254-AS1,True
ANXA11,False
GRID1,False
WAPAL,False
RP11-359E3.4,True
GLUD1,True
NUTM2A-AS1,False
ATAD1,False
ACTA2,False
LIPA,True
PANK1,False
PPP1R3C,True
